1731598750922,269,26,0,143,26,13,32,45,26,52,13,52,143,163,39,6,176,6,176,229,45,45,26,117,6,130,6,91,6,123,176,13,130,19,216,222,309,316,32,343,52,117,356,13,169,209,19,329,26,302,6,397,13,356,19,65,84,329,117,183,19,78,71,474,84,137,282,143,309,91,356,91,58,322,397,39,97,117,78,26,488,425,467,474,65,39,97,97,130,32,316,377,97,460,163,84,336,391,363,130,343,130,356,336,384,516,65,65,289,336,32,460,370,282,336,84,411,316,26,137,316,350,322,316,39,350,117,6,123,425,391,91,26,343,130,356,439,216,356,91,350,117,467,19,363,52,58,163,275,329,336,78,309,163,343,137,202,336,316,502,488,474,97,404,65,91,481,84,71,52,91,329,356,104,391,97,316,156,309,432,58,130,363,309,130,363,104,336,329,137,296,71,316,453,71,275,329,91,104,336,350,183,78,495,356,65,26,363,58,350,453,39,316,104,356,343,52,316,117,336,302,316,39,329,377,78,343,32,481,91,356,130,316,350,78,137,13,329,474,343,356,384,363,97,329,110,411,117,58,26,350,104,110,350,163,13,391,356,110,336,117,6,329,97,97,356,84,343,163,137,117,302,316,6,343,336,150,150,343,117,370,336,84,363,71,97,350,32,343,356,123,356,91,71,137,363,329,282,329,84,329,363,91,65,32,309,45,350,91,302,6,350,110,6,58,377,19,97,130,296,275,117,384,0,432,336,156,322,370,370,309,65,150,336,58,343,316,130,329,356,91,150,356,397,322,143,84,343,370,52,104,370,356,363,104,296,58,329,143,97,350,52,289,275,384,176,58,322,350,370,19,183,316,58,137,123,110,336,356,45,329,123,336,343,196,104,150,336,329,137,275,316,32,336,84,13,363,117,97,65
1731598751194,343,26,117,137,32,176,78,0,6,65,13,6,52,183,130,6,169,0,229,275,91,202,13,6,32,78,32,45,6,249,19,13,296,6,39,13,370,350,229,58,336,329,78,255,235,39,26,329,6,275,6,391,32,411,91,309,391,137,289,110,296,322,377,524,71,6,316,91,343,322,356,104,104,329,502,110,104,460,123,84,45,32,289,316,137,356,350,377,384,183,309,97,343,404,110,71,163,370,404,91,71,169,302,91,104,39,350,336,350,58,78,316,39,58,329,150,446,432,71,439,163,123,363,58,370,71,137,130,384,418,78,336,19,316,404,91,446,97,110,350,71,19,289,363,432,78,169,123,163,329,104,391,343,97,156,150,356,117,97,391,71,130,343,123,322,439,45,282,84,322,343,32,137,26,329,169,397,143,58,502,296,71,117,329,130,316,356,130,137,316,156,329,78,370,137,150,329,6,65,322,78,78,65,363,84,495,370,350,169,363,418,84,91,384,123,58,329,6,0,302,130,356,97,150,336,163,58,84,309,432,97,350,391,377,84,123,356,356,163,322,363,110,117,242,309,296,150,418,143,350,71,26,123,370,117,356,309,350,65,446,6,363,71,110,370,275,71,71,316,97,329,104,45,356,110,176,363,377,104,467,150,110,137,356,137,58,322,329,84,130,117,269,397,71,343,137,350,130,123,350,176,309,117,343,65,130,418,137,356,45,104,163,309,163,104,370,150,329,336,336,322,32,336,143,329,411,65,110,329,363,156,137,65,117,150,363,32,282,58,6,336,377,65,282,363,71,289,32,343,150,343,350,189,183,6,336,336,143,137,130,91,196,183,91,377,316,322,117,343,84,363,123,446,104,397,488,39,343,460,39,26,343,363,156,143,150,19,391,343,202,137,58,425,6,322,104,329,467,26,19
1731598751330,269,13,123,13,6,84,78,0,32,13,45,39,78,130,6,0,183,19,45,143,52,6,117,19,84,52,0,137,0,71,110,110,418,6,143,425,39,222,397,384,370,6,39,439,6,104,6,329,446,26,13,446,229,26,309,377,370,460,6,117,329,404,123,97,370,6,169,71,336,45,322,13,39,439,58,269,316,474,19,481,130,13,296,446,45,524,130,397,336,78,343,143,481,453,39,316,336,446,425,432,309,329,104,143,329,58,97,432,58,78,163,183,156,104,91,363,336,39,302,110,391,13,495,460,156,404,6,474,156,65,117,143,384,123,296,150,391,183,58,316,110,370,78,336,91,397,58,350,39,130,467,302,84,26,411,343,71,356,52,32,446,296,309,123,322,336,84,176,169,296,65,104,524,13,336,150,439,130,384,71,78,309,143,302,110,309,123,460,130,322,143,439,183,516,130,150,322,110,343,19,123,474,183,343,84,391,336,13,350,65,26,377,425,474,316,343,58,356,26,130,169,322,481,350,123,460,524,39,356,384,156,97,104,384,78,384,343,363,52,6,343,460,356,350,26,343,418,91,336,377,84,377,143,39,156,336,329,130,104,329,446,329,97,384,123,404,97,104,343,137,78,363,117,370,32,196,329,336,110,322,432,65,363,302,110,370,137,156,110,176,209,104,130,163,350,123,176,363,117,97,481,117,110,336,343,156,163,363,58,391,71,329,488,123,488,336,404,137,363,13,78,123,343,329,150,363,156,350,123,467,377,350,309,316,350,39,32,356,58,336,156,453,0,322,176,6,502,446,169,343,418,123,363,249,130,91,343,150,343,104,71,350,110,377,71,0,150,97,58,343,137,432,84,123,350,329,13,110,329,104,58,322,370,391,117,343,356,104,329,137,275,336,117,104,336,71,343,6,39,343
1731598751466,269,32,6,84,6,0,123,13,6,45,6,6,137,13,6,13,84,156,196,209,32,13,137,13,78,26,97,26,13,0,143,242,13,0,249,391,78,329,156,84,91,209,91,13,123,196,32,302,432,78,460,384,52,123,316,329,130,356,6,370,432,39,336,78,350,322,78,32,110,425,26,336,289,19,411,91,356,32,309,104,13,329,377,117,404,156,329,32,377,97,363,97,32,343,13,97,13,322,189,545,104,156,84,104,117,411,97,143,309,336,104,350,143,130,117,282,531,13,84,474,91,316,350,123,363,130,343,538,137,425,524,58,377,156,110,336,329,432,130,91,425,356,143,19,336,143,656,39,377,84,391,65,84,377,329,123,39,26,110,350,350,176,316,117,110,363,32,110,52,377,411,316,156,343,117,350,150,397,71,78,65,370,363,322,169,336,117,350,130,329,117,453,104,377,123,384,196,384,123,97,350,84,123,163,363,163,110,460,104,384,71,143,117,91,97,363,91,189,97,316,356,110,343,150,363,26,143,502,216,163,316,370,26,350,65,363,104,350,84,316,343,176,377,26,350,467,32,117,309,269,19,343,143,32,104,350,249,350,58,343,363,309,322,130,460,418,78,309,356,58,110,329,78,322,39,143,329,137,97,343,26,370,117,169,356,377,26,117,97,404,19,356,329,336,391,117,91,336,209,336,411,84,411,269,309,110,432,32,336,309,52,316,343,91,356,309,163,350,363,350,78,309,384,137,329,130,123,481,467,26,282,336,26,363,71,249,343,65,495,65,143,329,117,176,356,58,137,32,289,123,356,97,117,163,343,26,336,84,202,302,370,91,370,350,52,391,397,474,350,156,302,130,343,117,336,110,370,309,32,329,123,91,6,418,137,343,78,156,143,71,350,176,336,117,117,296,156,336,19,329
1731598751670,275,6,6,137,19,137,32,6,52,6,6,6,117,249,45,202,309,26,65,269,32,45,13,6,130,123,13,110,26,6,150,150,216,309,19,0,418,329,216,0,302,296,249,32,13,249,130,275,45,269,19,350,71,391,302,404,446,52,71,350,52,322,309,425,71,363,97,255,275,84,322,71,289,329,377,13,39,123,495,19,91,6,384,350,91,350,123,343,316,91,316,350,156,52,316,104,322,13,439,524,391,150,143,91,117,97,439,163,516,71,343,329,104,104,117,52,370,467,91,474,13,269,13,329,350,316,19,411,26,538,481,71,78,425,84,216,356,196,6,350,32,350,26,397,78,196,123,350,84,289,130,350,123,26,289,322,52,91,404,446,52,65,350,309,78,84,329,137,71,163,71,282,502,78,296,322,123,130,377,45,6,336,26,343,32,123,282,363,13,71,343,13,377,45,296,329,269,336,137,104,26,356,356,123,425,545,202,169,137,322,183,84,117,71,488,336,97,183,169,176,309,418,163,275,350,350,19,117,6,104,350,39,156,370,104,391,110,143,516,163,350,6,343,91,336,343,329,58,45,350,71,329,329,137,391,97,97,117,343,78,316,316,117,123,363,117,123,104,329,350,104,45,296,363,350,143,65,137,356,58,137,322,58,13,474,418,343,163,363,356,26,363,150,275,163,411,6,123,336,269,123,363,425,13,309,110,84,45,397,309,309,377,189,309,130,309,296,316,26,156,350,467,6,309,150,336,117,6,343,97,509,183,370,123,418,19,356,13,309,137,296,84,150,183,411,150,163,117,316,71,350,289,117,363,411,130,377,322,65,52,350,336,363,117,356,189,302,289,130,350,316,183,316,130,363,350,150,370,309,84,45,343,58,350,370,336,78,336,84,13,329,322,13,439,39,329,78,350,110,363
1731598751738,262,39,123,13,156,6,6,45,6,52,6,91,117,269,19,26,169,235,13,229,32,229,269,169,91,97,110,0,143,45,202,13,183,0,26,222,488,45,6,275,65,289,26,65,183,65,104,329,249,91,343,52,6,350,26,275,65,309,32,350,91,52,309,391,26,336,6,343,6,363,84,52,316,156,65,356,418,329,123,91,350,411,6,58,336,117,356,176,104,418,370,460,117,32,439,411,52,150,418,32,411,322,84,123,97,169,509,58,176,289,110,117,316,45,474,322,495,467,110,150,589,137,58,19,309,123,110,377,78,322,58,130,91,322,52,377,13,32,336,156,343,150,322,296,45,202,84,343,97,336,350,110,363,32,495,336,336,104,384,130,474,58,350,123,104,363,296,404,150,130,309,91,370,169,78,538,130,104,58,275,411,343,13,123,71,370,52,58,104,467,453,84,32,19,425,474,488,183,123,26,52,356,91,78,316,343,78,350,343,84,13,110,309,117,336,336,150,350,329,329,336,356,26,19,336,143,356,343,356,137,336,52,13,336,104,26,176,84,322,78,97,350,45,104,329,350,19,97,343,384,137,316,39,289,329,123,322,289,343,343,39,91,418,130,356,143,52,26,343,32,78,117,363,130,117,143,117,329,26,467,65,384,137,356,336,104,343,26,65,137,356,110,137,309,356,363,0,156,143,363,137,356,130,39,391,117,302,235,509,169,309,363,350,84,110,488,13,19,322,183,309,336,6,363,13,130,71,117,343,316,104,296,123,418,391,32,97,123,110,316,329,370,156,363,52,343,6,363,104,117,391,316,104,110,78,329,189,363,104,65,309,169,316,275,289,189,316,32,123,296,384,143,296,169,316,110,58,460,156,137,137,104,302,84,329,209,150,363,84,350,432,26,343,13,163,91,322,117,370,65
1731598751806,275,13,150,19,163,0,0,39,6,6,52,71,130,249,13,13,97,143,58,242,39,26,209,150,71,19,150,19,6,13,235,13,229,13,19,39,397,377,39,282,275,65,39,32,183,19,13,356,242,309,397,104,32,104,336,39,110,363,363,163,391,97,432,370,117,309,316,6,91,336,137,52,110,453,110,453,309,91,343,137,309,391,78,130,302,169,356,322,97,439,370,377,123,123,45,425,516,117,143,316,481,130,123,32,296,350,467,216,104,356,289,209,309,329,316,150,84,289,6,316,446,391,117,117,336,377,97,45,336,524,481,52,343,370,336,39,411,343,329,71,336,176,343,130,363,117,322,169,13,370,65,343,196,282,91,329,350,84,97,156,336,97,531,104,302,350,123,322,384,110,432,509,123,91,143,356,110,343,137,343,356,26,336,356,269,52,6,150,356,104,370,104,309,509,39,322,78,350,524,6,26,384,156,370,343,84,110,329,322,71,474,13,65,19,249,97,370,189,329,453,78,104,356,97,316,302,481,143,350,91,296,302,384,117,495,150,322,329,123,143,316,52,363,137,58,425,350,363,370,356,19,156,453,282,123,104,137,235,343,104,467,78,316,130,91,363,58,117,309,117,123,302,163,356,137,363,474,176,84,356,202,156,336,343,350,13,71,117,130,104,32,137,189,363,391,343,363,84,322,130,176,377,104,329,117,425,176,58,316,13,322,481,163,350,39,350,309,39,13,356,45,343,71,13,343,97,309,163,356,45,262,363,391,439,58,52,439,196,169,350,446,78,343,391,26,163,322,13,439,329,104,45,356,71,130,58,156,356,150,343,150,391,45,404,322,137,282,26,316,143,363,13,370,52,6,32,397,150,356,336,137,356,65,117,350,350,143,316,350,26,45,336,439,58,309,363,32,104,363,84
1731598751874,269,26,6,137,13,26,13,6,58,13,6,71,32,216,39,32,163,13,13,255,123,13,13,91,91,6,97,26,143,150,13,117,235,296,19,289,6,110,45,275,316,65,282,26,84,6,269,255,275,275,32,336,91,32,404,78,384,104,302,481,143,356,39,78,309,39,343,58,343,65,32,316,163,596,6,531,329,52,117,309,97,524,418,467,26,97,432,32,329,432,176,336,65,411,13,411,509,110,467,19,336,467,137,316,322,329,137,71,296,329,130,343,322,350,495,130,110,336,350,45,343,356,97,322,78,84,343,84,439,39,474,91,350,209,322,84,432,411,91,26,322,137,309,97,32,163,289,137,343,39,6,329,336,39,336,19,343,363,356,123,343,156,343,84,363,370,117,39,425,117,370,370,110,316,78,384,242,32,329,189,363,110,316,350,32,176,45,432,282,377,110,97,377,71,397,130,363,45,322,143,356,32,370,130,26,26,316,52,296,137,363,52,302,91,296,363,169,377,350,316,516,13,524,377,302,39,343,39,19,123,316,524,78,169,78,488,104,150,316,363,110,117,531,384,350,32,432,91,481,97,384,117,52,196,137,45,176,322,316,343,97,322,19,309,176,370,117,350,329,84,130,0,356,336,384,163,71,425,84,336,150,309,336,19,322,117,32,356,137,363,110,137,309,163,350,78,156,123,316,363,350,370,130,202,117,189,156,269,130,13,363,425,13,322,104,336,467,169,84,137,363,377,71,316,163,309,130,78,363,110,404,117,336,343,52,370,202,296,350,363,363,130,343,439,58,91,316,65,336,39,78,336,350,156,370,329,309,183,183,110,336,6,296,19,356,302,316,343,52,363,13,156,255,26,343,130,316,336,123,425,322,104,356,52,391,97,84,209,97,425,425,156,322,117,336,163,137,509,104,316
1731598752010,282,0,123,6,78,13,71,13,45,13,32,6,84,275,6,143,0,143,19,302,32,6,6,6,117,13,104,0,13,78,123,143,262,0,32,130,130,356,143,222,0,336,216,19,282,322,13,509,26,58,39,418,45,104,222,453,117,350,425,150,262,439,316,391,384,143,282,282,104,91,329,329,322,460,84,39,150,58,316,45,289,32,356,322,65,316,156,336,130,363,350,356,488,137,117,104,391,84,343,322,78,370,370,156,552,110,495,52,97,336,150,343,78,336,123,316,150,316,6,370,322,336,545,32,32,296,123,425,370,65,322,176,71,370,633,143,58,196,249,391,163,91,189,156,117,377,19,296,377,117,45,439,169,117,552,26,302,26,91,32,350,391,309,58,363,356,110,78,110,275,183,91,343,130,391,52,156,97,432,117,391,343,97,329,130,117,13,302,91,39,370,336,418,150,391,143,322,104,45,117,531,130,78,370,84,302,356,117,110,370,316,78,356,52,336,316,137,71,269,309,538,425,350,363,143,316,32,58,474,322,370,97,316,329,343,123,91,110,404,309,13,52,39,282,137,91,19,296,150,123,488,150,296,363,350,370,363,117,350,309,52,343,39,356,316,336,329,150,275,117,296,110,370,19,391,39,453,71,370,356,143,350,39,13,343,336,309,13,336,78,289,350,336,97,156,169,370,97,130,130,336,143,150,370,39,336,397,137,343,329,150,356,384,65,329,322,370,150,91,6,336,343,163,110,363,176,404,329,336,363,150,336,336,110,453,446,71,91,411,104,446,91,343,117,302,350,123,425,13,13,26,384,104,137,356,363,350,336,84,123,329,104,91,309,316,356,78,13,336,322,39,356,84,322,350,336,110,84,130,123,356,336,235,110,58,0,316,446,52,52,336,183,411,189,316,377,309,309,110,150
1731598752146,262,39,104,6,13,0,110,6,6,58,13,52,78,222,13,97,150,163,39,143,316,13,137,143,137,209,45,0,6,117,0,176,322,19,130,350,0,269,329,411,329,384,13,275,329,104,13,411,370,65,404,411,425,117,275,439,13,502,411,91,289,110,439,52,432,130,350,117,336,169,446,117,91,439,32,370,363,32,65,32,156,336,397,58,439,117,302,91,71,432,104,329,65,110,343,209,91,329,58,363,13,350,404,432,65,404,84,516,123,316,370,329,6,13,343,336,78,329,309,377,97,289,481,6,329,169,137,137,516,65,377,26,289,502,156,84,130,574,45,411,52,52,336,446,71,137,143,356,117,302,411,91,104,329,91,296,453,91,296,39,169,502,384,91,163,302,163,176,329,91,356,169,356,78,269,39,446,509,65,58,460,84,65,439,309,336,117,13,329,329,26,84,329,467,104,356,176,343,130,453,130,71,84,78,363,377,150,91,309,32,78,123,302,196,52,296,26,262,356,296,196,370,110,130,336,296,104,156,322,343,137,336,269,363,150,329,391,39,150,336,446,336,363,130,322,176,309,13,343,356,439,52,26,363,363,150,137,45,255,176,329,370,104,467,52,104,137,91,350,163,71,336,363,26,350,32,350,130,137,350,363,336,19,343,397,302,26,58,432,91,343,322,350,91,296,377,343,39,78,425,117,309,130,363,104,411,6,453,45,432,137,39,343,104,356,350,336,356,91,137,363,84,316,19,58,26,249,316,110,289,356,117,316,336,302,363,97,296,6,460,391,71,343,97,78,377,78,316,302,104,370,78,130,343,91,143,370,343,84,329,356,45,336,117,78,356,384,531,104,45,143,322,78,65,329,156,289,309,97,336,163,343,130,329,39,169,397,6,336,209,296,13,356,91,302,363,343,104,356,65
